
INT   Int
IDENTIFIER   i
EQUALS   =
NUMBER   0
SEMI_COLON   ;
NUMBER   6.32
SEMI_COLON   ;
SHARED   Shared
SEMI_COLON   ;
SEND_ARROW   ->
SEMI_COLON   ;
SEMI_COLON   ;
NUMBER   3
SEMI_COLON   ;
NUMBER   -15
SEMI_COLON   ;
IF   If
LEFT_PAREN   (
NUMBER   6
EQUALS   =
EQUALS   =
NUMBER   4
RIGHT_PAREN   )
CURLY_LEFT   {
BOOL   Bool
IDENTIFIER   z
EQUALS   =
IDENTIFIER   not
LEFT_PAREN   (
TRUE   True
RIGHT_PAREN   )
SEMI_COLON   ;
CURLY_RIGHT   }
PUBLIC   Public
SEMI_COLON   ;
MAP   Map
SEMI_COLON   ;
STRING   String
IDENTIFIER   q
SEMI_COLON   ;
COMMA   ,
IDENTIFIER   this[1]
SEMI_COLON   ;
